Time (s),System Output,ControllerOutput
3.249997,1.073901,0.008035
3.259997,1.073767,0.007941
3.269997,1.073631,0.007849
3.279997,1.073495,0.007759
3.289997,1.073358,0.007671
3.299997,1.073220,0.007586
3.309997,1.073081,0.007504
3.319997,1.072942,0.007420
3.329997,1.072801,0.007345
3.339997,1.072660,0.007266
3.349997,1.072518,0.007193
3.359997,1.072376,0.007119
3.369997,1.072232,0.007049
3.379997,1.072088,0.006981
3.389997,1.071944,0.006913
3.399997,1.071799,0.006848
3.409997,1.071653,0.006786
3.419997,1.071506,0.006724
3.429997,1.071359,0.006666
3.439997,1.071212,0.006607
3.449997,1.071063,0.006552
3.459997,1.070915,0.006496
3.469997,1.070765,0.006445
3.479997,1.070616,0.006392
3.489997,1.070466,0.006345
3.499997,1.070315,0.006296
3.509997,1.070164,0.006251
3.519997,1.070012,0.006205
3.529997,1.069860,0.006163
3.539997,1.069708,0.006120
3.549997,1.069555,0.006081
3.559997,1.069402,0.006040
3.569997,1.069249,0.006004
3.579997,1.069095,0.005967
3.589997,1.068941,0.005933
3.599997,1.068786,0.005898
3.609997,1.068632,0.005867
3.619997,1.068477,0.005836
3.629997,1.068321,0.005806
3.639997,1.068166,0.005778
3.649997,1.068010,0.005750
3.659997,1.067854,0.005726
3.669997,1.067697,0.005701
3.679997,1.067541,0.005676
3.689997,1.067384,0.005654
3.699997,1.067227,0.005633
3.709997,1.067070,0.005612
3.719997,1.066913,0.005592
3.729997,1.066755,0.005575
3.739997,1.066598,0.005557
3.749997,1.066440,0.005541
3.759997,1.066282,0.005525
3.769997,1.066124,0.005512
3.779997,1.065966,0.005499
3.789997,1.065808,0.005486
3.799997,1.065649,0.005475
3.809997,1.065491,0.005464
3.819997,1.065332,0.005455
3.829997,1.065174,0.005444
3.839997,1.065015,0.005438
3.849997,1.064857,0.005430
3.859997,1.064698,0.005424
3.869997,1.064539,0.005418
3.879997,1.064381,0.005413
3.889997,1.064222,0.005410
3.899997,1.064063,0.005405
3.909997,1.063904,0.005405
3.919997,1.063746,0.005402
3.929997,1.063587,0.005402
3.939997,1.063428,0.005400
3.949997,1.063269,0.005402
3.959997,1.063111,0.005403
3.969997,1.062952,0.005405
3.979997,1.062794,0.005407
3.989997,1.062635,0.005410
3.999997,1.062477,0.005414
4.009997,1.062318,0.005419
4.019997,1.062160,0.005421
4.029997,1.062002,0.005429
4.039998,1.061844,0.005435
4.049998,1.061686,0.005441
4.059998,1.061528,0.005448
4.069998,1.061370,0.005456
4.079998,1.061212,0.005464
4.089999,1.061055,0.005473
4.099999,1.060897,0.005482
4.109999,1.060740,0.005492
4.119999,1.060583,0.005503
4.130000,1.060426,0.005512
4.140000,1.060269,0.005526
4.150000,1.060112,0.005535
4.160000,1.059955,0.005550
4.170001,1.059799,0.005559
4.180001,1.059642,0.005576
4.190001,1.059486,0.005587
4.200001,1.059330,0.005603
4.210001,1.059174,0.005615
4.220002,1.059018,0.005632
4.230002,1.058863,0.005647
4.240002,1.058708,0.005662
4.250002,1.058553,0.005677
4.260003,1.058398,0.005695
4.270003,1.058243,0.005710
4.280003,1.058088,0.005727
4.290003,1.057934,0.005746
4.300004,1.057780,0.005763
4.310004,1.057626,0.005782
4.320004,1.057472,0.005798
4.330004,1.057319,0.005819
4.340004,1.057165,0.005837
4.350005,1.057012,0.005857
4.360005,1.056859,0.005876
4.370005,1.056707,0.005896
4.380005,1.056554,0.005916
4.390006,1.056402,0.005937
4.400006,1.056250,0.005956
4.410006,1.056099,0.005978
4.420006,1.055947,0.006000
4.430007,1.055796,0.006022
4.440007,1.055645,0.006042
4.450007,1.055494,0.006065
4.460007,1.055344,0.006087
4.470007,1.055194,0.006110
4.480008,1.055044,0.006131
4.490008,1.054894,0.006156
4.500008,1.054745,0.006178
4.510008,1.054595,0.006203
4.520009,1.054446,0.006225
4.530009,1.054298,0.006250
4.540009,1.054149,0.006273
4.550009,1.054001,0.006298
4.560009,1.053853,0.006321
4.570010,1.053706,0.006347
4.580010,1.053558,0.006371
4.590010,1.053411,0.006397
4.600010,1.053265,0.006419
4.610011,1.053118,0.006448
4.620011,1.052972,0.006470
4.630011,1.052826,0.006498
4.640011,1.052681,0.006522
4.650012,1.052535,0.006549
4.660012,1.052390,0.006575
4.670012,1.052245,0.006600
4.680012,1.052101,0.006626
4.690012,1.051957,0.006653
4.700013,1.051813,0.006680
4.710013,1.051669,0.006707
4.720013,1.051526,0.006731
4.730013,1.051383,0.006760
4.740014,1.051241,0.006786
4.750014,1.051098,0.006814
4.760014,1.050956,0.006840
4.770014,1.050814,0.006868
4.780015,1.050673,0.006896
4.790015,1.050532,0.006924
4.800015,1.050391,0.006950
